FILE_000000002447437,전라남도 고흥군_체육도장업.csv
FILE_000000002278327,제주특별자치도_개별관광(FIT)_증가에_따른_제주_관광객_소비패턴_변화_분석_BC카드_빅데이터_내국인관광객_20170216.zip
FILE_000000002360034,한국지능정보사회진흥원_2018년 스마트폰과의존실태조사 Raw Data_20181231.zip
FILE_000000002449271,국립생태원_생태정보도서관 소장 국외도서.csv
FILE_000000002431912,인천광역시 부평구_무료급식소 현황_20210813.csv
FILE_000000002418487,2021 지정업체 실태조사 결과현황(2분기).zip
FILE_000000002296652,전라남도 담양군_한국가사문학DB(전적) 목록정보_20200914.zip
FILE_000000002442805,서울특별시_강북구_빈집_20210923.csv
FILE_000000002443736,실시간 지하수용도별_전국_개소수.csv
FILE_000000002439537,인천광역시_서구_우유류판매업_20210916.csv
FILE_000000002440993,예금보험공사 예금보험기금 자산, 부채, 당기순이익 현황(2020회계연도).csv
FILE_000000002444457,경기도_고양시_대형폐기물 신고 현황_20210916.csv
FILE_000000001584526,충청북도_청주시_신호등정보_20191007.zip
FILE_000000002443264,인천광역시 서구_동네체육시설_농구장_20210923.csv
FILE_000000002441889,인천광역시 미추홀구_세무사 사무소_20210923.csv
FILE_000000002437830,한국가스공사_대전 도시가스 수요의 특수일 효과_20210914.csv
FILE_000000002449179,인천광역시_서구_동물위탁업_20210915.csv
FILE_000000002449945,충청북도 괴산군_CCTV통합관제시스템CCTV비상벨모니터링정보_20210930.csv
FILE_000000002429036,한국나노기술원_연구공정장비 사진 정보_20210901.zip
